original_name,german_translation,meaning
Sphere Space Open Bridge,Sphärenraum Offene Brücke,"Ein Name, der auf 'Offene Brücke' im Sphärenraum hinweist."
Sphere Space Common Suns,Sphärenraum Gemeinsame Sonnen,"Ein Name, der auf 'Gemeinsame Sonnen' im Sphärenraum hinweist."
Sphere Space Golden Bazaars,Sphärenraum Goldene Basare,"Ein Name, der auf 'Goldene Basare' im Sphärenraum hinweist."
Sphere Space Future Journeys,Sphärenraum Zukünftige Reisen,"Ein Name, der auf 'Zukünftige Reisen' im Sphärenraum hinweist."
Sphere Space Councils Council,Sphärenraum Ratsrat,"Ein Name, der auf 'Ratsrat' im Sphärenraum hinweist."
Sphere Space Quiet Corridors,Sphärenraum Ruhige Korridore,"Ein Name, der auf 'Ruhige Korridore' im Sphärenraum hinweist."
Sphere Space Quiet Terraces,Sphärenraum Ruhige Terrassen,"Ein Name, der auf 'Ruhige Terrassen' im Sphärenraum hinweist."
Sphere Space Quiet Lighthouses,Sphärenraum Ruhige Leuchttürme,"Ein Name, der auf 'Ruhige Leuchttürme' im Sphärenraum hinweist."
Sphere Space Balanced Starlight,Sphärenraum Ausgeglichenes Sternenlicht,"Ein Name, der auf 'Ausgeglichenes Sternenlicht' im Sphärenraum hinweist."
Sphere Space Civic Heritage,Sphärenraum Bürgerherbe,"Ein Name, der auf 'Bürgerherbe' im Sphärenraum hinweist."
Sphere Space Terran Harborfronts,Sphärenraum Terranische Hafenfronten,"Ein Name, der auf 'Terranische Hafenfronten' im Sphärenraum hinweist."
Sphere Space World Alliance,Sphärenraum Weltallianz,"Ein Name, der auf 'Weltallianz' im Sphärenraum hinweist."
Sphere Space Eternal Port,Sphärenraum Ewiger Port,"Ein Name, der auf 'Ewiger Port' im Sphärenraum hinweist."
Sphere Space Harmonic Depot,Sphärenraum Harmonisches Depot,"Ein Name, der auf 'Harmonisches Depot' im Sphärenraum hinweist."
Sphere Space Ways Alliance,Sphärenraum Wege Allianz,"Ein Name, der auf 'Wege Allianz' im Sphärenraum hinweist."
Sphere Space Steady Rebirth,Sphärenraum Stetige Wiedergeburt,"Ein Name, der auf 'Stetige Wiedergeburt' im Sphärenraum hinweist."
Sphere Space Atrium Trust,Sphärenraum Atrium Trust,"Ein Name, der auf 'Atrium Trust' im Sphärenraum hinweist."
Sphere Space Future Cluster,Sphärenraum Zukünftiger Cluster,"Ein Name, der auf 'Zukünftiger Cluster' im Sphärenraum hinweist."
Sphere Space Balanced Codes,Sphärenraum Ausgeglichene Codes,"Ein Name, der auf 'Ausgeglichene Codes' im Sphärenraum hinweist."
Sphere Space Colony Alliance,Sphärenraum Kolonieallianz,"Ein Name, der auf 'Kolonieallianz' im Sphärenraum hinweist."
Sphere Space Lighthouses Initiative,Sphärenraum Lighthouses Initiative,"Ein Name, der auf 'Lighthouses Initiative' im Sphärenraum hinweist."
Sphere Space Eternal Hubs,Sphärenraum Ewige Hubs,"Ein Name, der auf 'Ewige Hubs' im Sphärenraum hinweist."
Sphere Space Orbital Corridor,Sphärenraum Orbitalkorridor,"Ein Name, der auf 'Orbitalkorridor' im Sphärenraum hinweist."
Sphere Space Timeless Districts,Sphärenraum Zeitlose Bezirke,"Ein Name, der auf 'Zeitlose Bezirke' im Sphärenraum hinweist."
Sphere Space United Works,Sphärenraum United Works,"Ein Name, der auf 'United Works' im Sphärenraum hinweist."
Sphere Space Harmonic Peak,Sphärenraum Harmonischer Peak,"Ein Name, der auf 'Harmonischer Peak' im Sphärenraum hinweist."
Sphere Space Public Archive,Sphärenraum Öffentliches Archiv,"Ein Name, der auf 'Öffentliches Archiv' im Sphärenraum hinweist."
Sphere Space Orbital Charter,Sphärenraum Orbitalcharter,"Ein Name, der auf 'Orbitalcharter' im Sphärenraum hinweist."
Sphere Space Open Conservatories,Sphärenraum Offene Konservatorien,"Ein Name, der auf 'Offene Konservatorien' im Sphärenraum hinweist."
Sphere Space Calm Belts,Sphärenraum Ruhige Gürtel,"Ein Name, der auf 'Ruhige Gürtel' im Sphärenraum hinweist."
Sphere Space Resilient Shelter,Sphärenraum Widerstandsfähiger Schutz,"Ein Name, der auf 'Widerstandsfähiger Schutz' im Sphärenraum hinweist."
Sphere Space Quiet Harbour,Sphärenraum Ruhiger Hafen,"Ein Name, der auf 'Ruhiger Hafen' im Sphärenraum hinweist."
Sphere Space Voyage Program,Sphärenraum Reiseprogramm,"Ein Name, der auf 'Reiseprogramm' im Sphärenraum hinweist."
Sphere Space Interorbital Harborlines,Sphärenraum Interorbitale Hafenlinien,"Ein Name, der auf 'Interorbitale Hafenlinien' im Sphärenraum hinweist."
Sphere Space Secure Legacies,Sphärenraum Sicheres Vermächtnis,"Ein Name, der auf 'Sicheres Vermächtnis' im Sphärenraum hinweist."
Sphere Space Enduring Corridors,Sphärenraum Dauerhafte Korridore,"Ein Name, der auf 'Dauerhafte Korridore' im Sphärenraum hinweist."
Sphere Space Solar Library,Sphärenraum Solarbibliothek,"Ein Name, der auf 'Solarbibliothek' im Sphärenraum hinweist."
Sphere Space Corridors Commons,Sphärenraum Corridors Commons,"Ein Name, der auf 'Corridors Commons' im Sphärenraum hinweist."
Sphere Space Deep Court,Sphärenraum Tiefer Gericht,"Ein Name, der auf 'Tiefer Gericht' im Sphärenraum hinweist."
Sphere Space Future Dome,Sphärenraum Zukünftige Kuppel,"Ein Name, der auf 'Zukünftige Kuppel' im Sphärenraum hinweist."
Sphere Space Global Dock,Sphärenraum Global Dock,"Ein Name, der auf 'Global Dock' im Sphärenraum hinweist."
Sphere Space Orbits Standards,Sphärenraum Umlaufstandards,"Ein Name, der auf 'Umlaufstandards' im Sphärenraum hinweist."
Sphere Space Path Commons,Sphärenraum Path Commons,"Ein Name, der auf 'Path Commons' im Sphärenraum hinweist."
Sphere Space Enduring Blueprints,Sphärenraum Beständige Blaupausen,"Ein Name, der auf 'Beständige Blaupausen' im Sphärenraum hinweist."
Sphere Space Common Program,Sphärenraum Gemeinsames Programm,"Ein Name, der auf 'Gemeinsames Programm' im Sphärenraum hinweist."
Sphere Space Golden Fellowship,Sphärenraum Goldenes Gemeinschaft,"Ein Name, der auf 'Goldenes Gemeinschaft' im Sphärenraum hinweist."
Sphere Space Golden Arch,Sphärenraum Goldener Bogen,"Ein Name, der auf 'Goldener Bogen' im Sphärenraum hinweist."
Sphere Space Golden Avenues,Sphärenraum Goldene Wege,"Ein Name, der auf 'Goldene Wege' im Sphärenraum hinweist."
Sphere Space Future Schools,Sphärenraum Zukünftige Schulen,"Ein Name, der auf 'Zukünftige Schulen' im Sphärenraum hinweist."
Sphere Space Calm Suns,Sphärenraum Ruhige Sonnen,"Ein Name, der auf 'Ruhige Sonnen' im Sphärenraum hinweist."
Sphere Space Global Harborfronts,Sphärenraum Globale Hafenfront,"Ein Name, der auf 'Globale Hafenfront' im Sphärenraum hinweist."
Sphere Space Solar Factories,Sphärenraum Solarfabriken,"Ein Name, der auf 'Solarfabriken' im Sphärenraum hinweist."
Sphere Space Living World,Sphärenraum Lebende Welt,"Ein Name, der auf 'Lebende Welt' im Sphärenraum hinweist."
Sphere Space United Harborfronts,Sphärenraum United Harborfronts,"Ein Name, der auf 'United Harborfronts' im Sphärenraum hinweist."
Sphere Space Projects Initiative,Sphärenraum Projektinitiative,"Ein Name, der auf 'Projektinitiative' im Sphärenraum hinweist."
Sphere Space Common Renewal,Sphärenraum Gemeinsame Erneuerung,"Ein Name, der auf 'Gemeinsame Erneuerung' im Sphärenraum hinweist."
Sphere Space Stellar Signal,Sphärenraum Sternsignal,"Ein Name, der auf 'Sternsignal' im Sphärenraum hinweist."
Sphere Space Quiet Coasts,Sphärenraum Ruhige Küsten,"Ein Name, der auf 'Ruhige Küsten' im Sphärenraum hinweist."
Sphere Space Humane Nodes,Sphärenraum Humane Knoten,"Ein Name, der auf 'Humane Knoten' im Sphärenraum hinweist."
Sphere Space Balanced Depot,Sphärenraum Ausgeglichenes Depot,"Ein Name, der auf 'Ausgeglichenes Depot' im Sphärenraum hinweist."
Sphere Space Pure Array,Sphärenraum Reines Array,"Ein Name, der auf 'Reines Array' im Sphärenraum hinweist."
Sphere Space Resilient Villages,Sphärenraum Widerstandsfähige Dörfer,"Ein Name, der auf 'Widerstandsfähige Dörfer' im Sphärenraum hinweist."
Sphere Space Stellar Initiatives,Sphärenraum Sterninitiativen,"Ein Name, der auf 'Sterninitiativen' im Sphärenraum hinweist."
Sphere Space Safe Journey,Sphärenraum Sichere Reise,"Ein Name, der auf 'Sichere Reise' im Sphärenraum hinweist."
Sphere Space Perennial Arcades,Sphärenraum Mehrjährige Arkaden,"Ein Name, der auf 'Mehrjährige Arkaden' im Sphärenraum hinweist."
Sphere Space Timeless Court,Sphärenraum Zeitloser Gericht,"Ein Name, der auf 'Zeitloser Gericht' im Sphärenraum hinweist."
Sphere Space Yard Program,Sphärenraum Hofprogramm,"Ein Name, der auf 'Hofprogramm' im Sphärenraum hinweist."
Sphere Space Stellar Boulevard,Sphärenraum Sternboulevard,"Ein Name, der auf 'Sternboulevard' im Sphärenraum hinweist."
Sphere Space Enduring Playbook,Sphärenraum Dauerhaftes Spielbuch,"Ein Name, der auf 'Dauerhaftes Spielbuch' im Sphärenraum hinweist."
Sphere Space Earthborn Bases,Sphärenraum Erdengeborene Basen,"Ein Name, der auf 'Erdengeborene Basen' im Sphärenraum hinweist."
Sphere Space Bright Arcades,Sphärenraum Helle Arkaden,"Ein Name, der auf 'Helle Arkaden' im Sphärenraum hinweist."
Sphere Space Seafront Initiative,Sphärenraum Initiative am Meer,"Ein Name, der auf 'Initiative am Meer' im Sphärenraum hinweist."
Sphere Space Sun,Sphärenraum Sonne,"Ein Name, der auf 'Sonne' im Sphärenraum hinweist."
Sphere Space Silver Refuges,Sphärenraum Silberne Schiedsrichter,"Ein Name, der auf 'Silberne Schiedsrichter' im Sphärenraum hinweist."
Sphere Space Common Campus,Sphärenraum Gemeinsamer Campus,"Ein Name, der auf 'Gemeinsamer Campus' im Sphärenraum hinweist."
Sphere Space Sphere Foundation,Sphärenraum Sphere Foundation,"Ein Name, der auf 'Sphere Foundation' im Sphärenraum hinweist."
Sphere Space True Anchors,Sphärenraum Wahre Anker,"Ein Name, der auf 'Wahre Anker' im Sphärenraum hinweist."
Sphere Space Perennial Standards,Sphärenraum Mehrjährige Standards,"Ein Name, der auf 'Mehrjährige Standards' im Sphärenraum hinweist."
Sphere Space Manifest Initiative,Sphärenraum Offensichtliche Initiative,"Ein Name, der auf 'Offensichtliche Initiative' im Sphärenraum hinweist."
Sphere Space Silver Factory,Sphärenraum Silberfabrik,"Ein Name, der auf 'Silberfabrik' im Sphärenraum hinweist."
Sphere Space Enduring Lighthouse,Sphärenraum Dauerhaftes Leuchtturm,"Ein Name, der auf 'Dauerhaftes Leuchtturm' im Sphärenraum hinweist."
Sphere Space Cityworks Council,Sphärenraum Cityworks Council,"Ein Name, der auf 'Cityworks Council' im Sphärenraum hinweist."
Sphere Space Global Nexuses,Sphärenraum Globale Nexus,"Ein Name, der auf 'Globale Nexus' im Sphärenraum hinweist."
Sphere Space Bright Planet,Sphärenraum Heller Planet,"Ein Name, der auf 'Heller Planet' im Sphärenraum hinweist."
Sphere Space Steady Clinics,Sphärenraum Stabile Kliniken,"Ein Name, der auf 'Stabile Kliniken' im Sphärenraum hinweist."
Sphere Space Bright Code,Sphärenraum Heller Code,"Ein Name, der auf 'Heller Code' im Sphärenraum hinweist."
Sphere Space Next Colonies,Sphärenraum Nächste Kolonien,"Ein Name, der auf 'Nächste Kolonien' im Sphärenraum hinweist."
Sphere Space Lasting Highways,Sphärenraum Dauerhafte Autobahnen,"Ein Name, der auf 'Dauerhafte Autobahnen' im Sphärenraum hinweist."
Sphere Space Pioneer Harborline,Sphärenraum Pioneer Harborline,"Ein Name, der auf 'Pioneer Harborline' im Sphärenraum hinweist."
Sphere Space Quiet Refuge,Sphärenraum Ruhige Zuflucht,"Ein Name, der auf 'Ruhige Zuflucht' im Sphärenraum hinweist."
Sphere Space Stellar Institute,Sphärenraum Sterninstitut,"Ein Name, der auf 'Sterninstitut' im Sphärenraum hinweist."
Sphere Space Green Paths,Sphärenraum Grüne Pfade,"Ein Name, der auf 'Grüne Pfade' im Sphärenraum hinweist."
Sphere Space Common Factories,Sphärenraum Gemeinsame Fabriken,"Ein Name, der auf 'Gemeinsame Fabriken' im Sphärenraum hinweist."
Sphere Space Blue Forge,Sphärenraum Blaue Schmiede,"Ein Name, der auf 'Blaue Schmiede' im Sphärenraum hinweist."
Sphere Space Heritage Program,Sphärenraum Heritage -Programm,"Ein Name, der auf 'Heritage -Programm' im Sphärenraum hinweist."
Sphere Space Blue Unions,Sphärenraum Blaue Gewerkschaften,"Ein Name, der auf 'Blaue Gewerkschaften' im Sphärenraum hinweist."
Sphere Space Human Colonies,Sphärenraum Menschliche Kolonien,"Ein Name, der auf 'Menschliche Kolonien' im Sphärenraum hinweist."
Sphere Space Terran Forge,Sphärenraum Terranische Schmiede,"Ein Name, der auf 'Terranische Schmiede' im Sphärenraum hinweist."
Sphere Space Foundations Standards,Sphärenraum Fundamentenstandards,"Ein Name, der auf 'Fundamentenstandards' im Sphärenraum hinweist."
Sphere Space Earth Highway,Sphärenraum Erdstraße,"Ein Name, der auf 'Erdstraße' im Sphärenraum hinweist."
Sphere Space Eternal Sanctuaries,Sphärenraum Ewige Heiler,"Ein Name, der auf 'Ewige Heiler' im Sphärenraum hinweist."
Sphere Space Eternal Ring,Sphärenraum Ewiger Ring,"Ein Name, der auf 'Ewiger Ring' im Sphärenraum hinweist."
Sphere Space Next Civic,Sphärenraum Nächstes Bürger,"Ein Name, der auf 'Nächstes Bürger' im Sphärenraum hinweist."
Sphere Space Humane Hubs,Sphärenraum Humane Hubs,"Ein Name, der auf 'Humane Hubs' im Sphärenraum hinweist."
Sphere Space Earthborn Renewal,Sphärenraum Erdengeborene Erneuerung,"Ein Name, der auf 'Erdengeborene Erneuerung' im Sphärenraum hinweist."
Sphere Space Global Basecamp,Sphärenraum Globales Basiscamp,"Ein Name, der auf 'Globales Basiscamp' im Sphärenraum hinweist."
Sphere Space Enduring Boulevards,Sphärenraum Dauerhafte Boulevards,"Ein Name, der auf 'Dauerhafte Boulevards' im Sphärenraum hinweist."
Sphere Space Auroras Program,Sphärenraum Auroras -Programm,"Ein Name, der auf 'Auroras -Programm' im Sphärenraum hinweist."
Sphere Space Humane Court,Sphärenraum Humaner Hof,"Ein Name, der auf 'Humaner Hof' im Sphärenraum hinweist."
Sphere Space Next Horizon,Sphärenraum Nächster Horizont,"Ein Name, der auf 'Nächster Horizont' im Sphärenraum hinweist."
Sphere Space Quiet Forums,Sphärenraum Ruhige Foren,"Ein Name, der auf 'Ruhige Foren' im Sphärenraum hinweist."
Sphere Space Pioneer Factory,Sphärenraum Pionierfabrik,"Ein Name, der auf 'Pionierfabrik' im Sphärenraum hinweist."
Sphere Space Pure Corridors,Sphärenraum Reine Korridore,"Ein Name, der auf 'Reine Korridore' im Sphärenraum hinweist."
Sphere Space Golden Worlds,Sphärenraum Goldene Welten,"Ein Name, der auf 'Goldene Welten' im Sphärenraum hinweist."
Sphere Space Quiet Projects,Sphärenraum Ruhige Projekte,"Ein Name, der auf 'Ruhige Projekte' im Sphärenraum hinweist."
Sphere Space Living Shipyard,Sphärenraum Lebende Werft,"Ein Name, der auf 'Lebende Werft' im Sphärenraum hinweist."
Sphere Space Enduring Charters,Sphärenraum Dauerhafte Chartas,"Ein Name, der auf 'Dauerhafte Chartas' im Sphärenraum hinweist."
Sphere Space Enduring Home,Sphärenraum Dauer nach Hause,"Ein Name, der auf 'Dauer nach Hause' im Sphärenraum hinweist."
Sphere Space Concourse Foundation,Sphärenraum Concourse Foundation,"Ein Name, der auf 'Concourse Foundation' im Sphärenraum hinweist."
Sphere Space Frontier Aurora,Sphärenraum Frontier Aurora,"Ein Name, der auf 'Frontier Aurora' im Sphärenraum hinweist."
Sphere Space Enduring Commons,Sphärenraum Dauerhafte Commons,"Ein Name, der auf 'Dauerhafte Commons' im Sphärenraum hinweist."
Sphere Space Orbital Trusts,Sphärenraum Orbital Trusts,"Ein Name, der auf 'Orbital Trusts' im Sphärenraum hinweist."
Sphere Space Bright Harborfront,Sphärenraum Heller Hafenfront,"Ein Name, der auf 'Heller Hafenfront' im Sphärenraum hinweist."
Sphere Space Stellar Node,Sphärenraum Sternknoten,"Ein Name, der auf 'Sternknoten' im Sphärenraum hinweist."
Sphere Space Frontier Campus,Sphärenraum Frontier Campus,"Ein Name, der auf 'Frontier Campus' im Sphärenraum hinweist."
Sphere Space Human Square,Sphärenraum Menschlicher Quadrat,"Ein Name, der auf 'Menschlicher Quadrat' im Sphärenraum hinweist."
Sphere Space Home Network,Sphärenraum Heimnetzwerk,"Ein Name, der auf 'Heimnetzwerk' im Sphärenraum hinweist."
Sphere Space Lasting Signals,Sphärenraum Dauerhafte Signale,"Ein Name, der auf 'Dauerhafte Signale' im Sphärenraum hinweist."
Sphere Space Orbital Biospheres,Sphärenraum Orbital Biosphären,"Ein Name, der auf 'Orbital Biosphären' im Sphärenraum hinweist."
Sphere Space Public Initiative,Sphärenraum Öffentliche Initiative,"Ein Name, der auf 'Öffentliche Initiative' im Sphärenraum hinweist."
Sphere Space Promenade Standards,Sphärenraum Promenadenstandards,"Ein Name, der auf 'Promenadenstandards' im Sphärenraum hinweist."
Sphere Space Global Concourses,Sphärenraum Globale Concours,"Ein Name, der auf 'Globale Concours' im Sphärenraum hinweist."
Sphere Space Civil Networks,Sphärenraum Ziviletzwerke,"Ein Name, der auf 'Ziviletzwerke' im Sphärenraum hinweist."
Sphere Space Resilient Mesh,Sphärenraum Widerstandsfähiges Netz,"Ein Name, der auf 'Widerstandsfähiges Netz' im Sphärenraum hinweist."
Sphere Space Public Harbour,Sphärenraum Öffentlicher Hafen,"Ein Name, der auf 'Öffentlicher Hafen' im Sphärenraum hinweist."
Sphere Space Global Commons,Sphärenraum Globales Commons,"Ein Name, der auf 'Globales Commons' im Sphärenraum hinweist."
Sphere Space Blue Laboratories,Sphärenraum Blaue Labors,"Ein Name, der auf 'Blaue Labors' im Sphärenraum hinweist."
Sphere Space Global Council,Sphärenraum Globaler Rat,"Ein Name, der auf 'Globaler Rat' im Sphärenraum hinweist."
Sphere Space Exchange Alliance,Sphärenraum Austauschallianz,"Ein Name, der auf 'Austauschallianz' im Sphärenraum hinweist."
Sphere Space Blue Legacy,Sphärenraum Blaues Erbe,"Ein Name, der auf 'Blaues Erbe' im Sphärenraum hinweist."
Sphere Space United Factory,Sphärenraum Vereinigte Fabrik,"Ein Name, der auf 'Vereinigte Fabrik' im Sphärenraum hinweist."
Sphere Space Resilient Metropolises,Sphärenraum Widerstandsfähige Metropolen,"Ein Name, der auf 'Widerstandsfähige Metropolen' im Sphärenraum hinweist."
Sphere Space Balanced Operas,Sphärenraum Ausgeglichene Opern,"Ein Name, der auf 'Ausgeglichene Opern' im Sphärenraum hinweist."
Sphere Space Pure Promenades,Sphärenraum Reine Promenaden,"Ein Name, der auf 'Reine Promenaden' im Sphärenraum hinweist."
Sphere Space Secure Havens,Sphärenraum Sichere Häfen,"Ein Name, der auf 'Sichere Häfen' im Sphärenraum hinweist."
Sphere Space Quiet Manifest,Sphärenraum Ruhiges Manifest,"Ein Name, der auf 'Ruhiges Manifest' im Sphärenraum hinweist."
Sphere Space New Horizon,Sphärenraum New Horizon,"Ein Name, der auf 'New Horizon' im Sphärenraum hinweist."
Sphere Space Free Charters,Sphärenraum Freie Chartas,"Ein Name, der auf 'Freie Chartas' im Sphärenraum hinweist."
Sphere Space Living Foundations,Sphärenraum Lebende Grundlagen,"Ein Name, der auf 'Lebende Grundlagen' im Sphärenraum hinweist."
Sphere Space Open Forges,Sphärenraum Offene Schmieden,"Ein Name, der auf 'Offene Schmieden' im Sphärenraum hinweist."
Sphere Space Timeless Parks,Sphärenraum Zeitlose Parks,"Ein Name, der auf 'Zeitlose Parks' im Sphärenraum hinweist."
Sphere Space Harbor Standards,Sphärenraum Hafenstandards,"Ein Name, der auf 'Hafenstandards' im Sphärenraum hinweist."
Sphere Space Frontier Colonies,Sphärenraum Grenzkolonien,"Ein Name, der auf 'Grenzkolonien' im Sphärenraum hinweist."
Sphere Space Deep Shores,Sphärenraum Tiefe Ufer,"Ein Name, der auf 'Tiefe Ufer' im Sphärenraum hinweist."
Sphere Space Harmonic Manifests,Sphärenraum Harmonische Manifeste,"Ein Name, der auf 'Harmonische Manifeste' im Sphärenraum hinweist."
Sphere Space Deep Worlds,Sphärenraum Tiefe Welten,"Ein Name, der auf 'Tiefe Welten' im Sphärenraum hinweist."
Sphere Space Safe Arch,Sphärenraum Sicherer Bogen,"Ein Name, der auf 'Sicherer Bogen' im Sphärenraum hinweist."
Sphere Space Orbital Harborfront,Sphärenraum Orbital Harborfront,"Ein Name, der auf 'Orbital Harborfront' im Sphärenraum hinweist."
Sphere Space Pioneer Skies,Sphärenraum Pionierhimmel,"Ein Name, der auf 'Pionierhimmel' im Sphärenraum hinweist."
Sphere Space Calm Alliance,Sphärenraum Ruhige Allianz,"Ein Name, der auf 'Ruhige Allianz' im Sphärenraum hinweist."
Sphere Space Universal Laboratories,Sphärenraum Universelle Labors,"Ein Name, der auf 'Universelle Labors' im Sphärenraum hinweist."
Sphere Space Terran Archives,Sphärenraum Terranische Archive,"Ein Name, der auf 'Terranische Archive' im Sphärenraum hinweist."
Sphere Space Foundry Initiative,Sphärenraum Gießereiinitiative,"Ein Name, der auf 'Gießereiinitiative' im Sphärenraum hinweist."
Sphere Space Humane Biosphere,Sphärenraum Humane Biosphäre,"Ein Name, der auf 'Humane Biosphäre' im Sphärenraum hinweist."
Sphere Space Academy Council,Sphärenraum Akademierat,"Ein Name, der auf 'Akademierat' im Sphärenraum hinweist."
Sphere Space Outpost Program,Sphärenraum Außenpostenprogramm,"Ein Name, der auf 'Außenpostenprogramm' im Sphärenraum hinweist."
Sphere Space Opera Initiative,Sphärenraum Operinitiative,"Ein Name, der auf 'Operinitiative' im Sphärenraum hinweist."
Sphere Space Humane Highways,Sphärenraum Humane Autobahnen,"Ein Name, der auf 'Humane Autobahnen' im Sphärenraum hinweist."
Sphere Space Earthborn Peaks,Sphärenraum Erdegeborene Gipfel,"Ein Name, der auf 'Erdegeborene Gipfel' im Sphärenraum hinweist."
Sphere Space Calm Anchorpoints,Sphärenraum Ruhige Ankerpunkte,"Ein Name, der auf 'Ruhige Ankerpunkte' im Sphärenraum hinweist."
Sphere Space Universal Enterprise,Sphärenraum Universal Enterprise,"Ein Name, der auf 'Universal Enterprise' im Sphärenraum hinweist."
Sphere Space Next Ledgers,Sphärenraum Nächste Ledger,"Ein Name, der auf 'Nächste Ledger' im Sphärenraum hinweist."
Sphere Space Civil Lighthouses,Sphärenraum Zivilleuchttürme,"Ein Name, der auf 'Zivilleuchttürme' im Sphärenraum hinweist."
Sphere Space Calm Clinic,Sphärenraum Ruhige Klinik,"Ein Name, der auf 'Ruhige Klinik' im Sphärenraum hinweist."
Sphere Space Humane Factories,Sphärenraum Humane Fabriken,"Ein Name, der auf 'Humane Fabriken' im Sphärenraum hinweist."
Sphere Space Solar Parks,Sphärenraum Solarparks,"Ein Name, der auf 'Solarparks' im Sphärenraum hinweist."
Sphere Space Golden Mesh,Sphärenraum Goldenes Netz,"Ein Name, der auf 'Goldenes Netz' im Sphärenraum hinweist."
Sphere Space Humane Squares,Sphärenraum Humane Quadrate,"Ein Name, der auf 'Humane Quadrate' im Sphärenraum hinweist."
Sphere Space Perennial Civic,Sphärenraum Mehrjähriger Bürger,"Ein Name, der auf 'Mehrjähriger Bürger' im Sphärenraum hinweist."
Sphere Space Quiet Workshop,Sphärenraum Ruhige Werkstatt,"Ein Name, der auf 'Ruhige Werkstatt' im Sphärenraum hinweist."
Sphere Space Civic Frontier,Sphärenraum Bürgergrenze,"Ein Name, der auf 'Bürgergrenze' im Sphärenraum hinweist."
Sphere Space Solar Gardenworks,Sphärenraum Solar Gardenworks,"Ein Name, der auf 'Solar Gardenworks' im Sphärenraum hinweist."
Sphere Space Prime Arch,Sphärenraum Prime Bogen,"Ein Name, der auf 'Prime Bogen' im Sphärenraum hinweist."
Sphere Space Civic Nodes,Sphärenraum Bürgerknoten,"Ein Name, der auf 'Bürgerknoten' im Sphärenraum hinweist."
Sphere Space Living Standard,Sphärenraum Lebender Standard,"Ein Name, der auf 'Lebender Standard' im Sphärenraum hinweist."
Sphere Space Next School,Sphärenraum Nächste Schule,"Ein Name, der auf 'Nächste Schule' im Sphärenraum hinweist."
Sphere Space Deep Harbors,Sphärenraum Tiefe Häfen,"Ein Name, der auf 'Tiefe Häfen' im Sphärenraum hinweist."
Sphere Space Enduring Network,Sphärenraum Dauerhaftes Netzwerk,"Ein Name, der auf 'Dauerhaftes Netzwerk' im Sphärenraum hinweist."
Sphere Space Quiet Arcs,Sphärenraum Ruhige Bögen,"Ein Name, der auf 'Ruhige Bögen' im Sphärenraum hinweist."
Sphere Space Bright Cluster,Sphärenraum Heller Cluster,"Ein Name, der auf 'Heller Cluster' im Sphärenraum hinweist."
Sphere Space Next Market,Sphärenraum Nächster Markt,"Ein Name, der auf 'Nächster Markt' im Sphärenraum hinweist."
Sphere Space Earthborn Revival,Sphärenraum Earthborn -Wiederbelebung,"Ein Name, der auf 'Earthborn -Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Interorbital Terraces,Sphärenraum Interorbitale Terrassen,"Ein Name, der auf 'Interorbitale Terrassen' im Sphärenraum hinweist."
Sphere Space Open Domus,Sphärenraum Offene Domus,"Ein Name, der auf 'Offene Domus' im Sphärenraum hinweist."
Sphere Space Silver Greens,Sphärenraum Silbergrüns,"Ein Name, der auf 'Silbergrüns' im Sphärenraum hinweist."
Sphere Space Resilient Initiatives,Sphärenraum Widerstandsfähige Initiativen,"Ein Name, der auf 'Widerstandsfähige Initiativen' im Sphärenraum hinweist."
Sphere Space Resilient Civics,Sphärenraum Resilient Civics,"Ein Name, der auf 'Resilient Civics' im Sphärenraum hinweist."
Sphere Space Free Court,Sphärenraum Freier Gerichtshof,"Ein Name, der auf 'Freier Gerichtshof' im Sphärenraum hinweist."
Sphere Space True Habitats,Sphärenraum Wahre Lebensräume,"Ein Name, der auf 'Wahre Lebensräume' im Sphärenraum hinweist."
Sphere Space Common Bazaar,Sphärenraum Gemeinsamer Basar,"Ein Name, der auf 'Gemeinsamer Basar' im Sphärenraum hinweist."
Sphere Space Silver Homes,Sphärenraum Silberhäuser,"Ein Name, der auf 'Silberhäuser' im Sphärenraum hinweist."
Sphere Space Earth Workshops,Sphärenraum Erd -Workshops,"Ein Name, der auf 'Erd -Workshops' im Sphärenraum hinweist."
Sphere Space Safe Clinic,Sphärenraum Sichere Klinik,"Ein Name, der auf 'Sichere Klinik' im Sphärenraum hinweist."
Sphere Space Civil Concourses,Sphärenraum Zivilstrahl,"Ein Name, der auf 'Zivilstrahl' im Sphärenraum hinweist."
Sphere Space Terran Base,Sphärenraum Terranische Basis,"Ein Name, der auf 'Terranische Basis' im Sphärenraum hinweist."
Sphere Space Bright Promenade,Sphärenraum Helle Promenade,"Ein Name, der auf 'Helle Promenade' im Sphärenraum hinweist."
Sphere Space Free Commons,Sphärenraum Kostenlose Commons,"Ein Name, der auf 'Kostenlose Commons' im Sphärenraum hinweist."
Sphere Space Open Gallery,Sphärenraum Offene Galerie,"Ein Name, der auf 'Offene Galerie' im Sphärenraum hinweist."
Sphere Space Academies Commons,Sphärenraum Akademien Commons,"Ein Name, der auf 'Akademien Commons' im Sphärenraum hinweist."
Sphere Space Civil Arrays,Sphärenraum Zivilarrays,"Ein Name, der auf 'Zivilarrays' im Sphärenraum hinweist."
